Edifcio;Nome sala;Capacidade Normal;Capacidade Exame;N caractersticas;Anfiteatro aulas;Apoio tcnico eventos;Arq 1;Arq 2;Arq 3;Arq 4;Arq 5;Arq 6;Arq 9;BYOD (Bring Your Own Device);Focus Group;Horrio sala visvel portal pblico;Laboratrio de Arquitectura de Computadores I;Laboratrio de Arquitectura de Computadores II;Laboratrio de Bases de Engenharia;Laboratrio de Electrnica;Laboratrio de Informtica;Laboratrio de Jornalismo;Laboratrio de Redes de Computadores I;Laboratrio de Redes de Computadores II;Laboratrio de Telecomunicaes;Sala Aulas Mestrado;Sala Aulas Mestrado Plus;Sala NEE;Sala Provas;Sala Reunio;Sala de Arquitectura;Sala de Aulas normal;videoconferncia;trio
Ala Autnoma (ISCTE-IUL);Auditrio Afonso de Barros;80;39;4;;;;;;;;;;;;x;;;;;;;;;;x;x;;;;;x;;
Ala Autnoma (ISCTE-IUL);Auditrio Silva Leal;54;27;4;;;;;;;;;;;;x;;;;;;;;;;x;x;;;;;x;;
Ala Autnoma (ISCTE-IUL);AA2.23;50;23;5;;;;;;;;;;;;x;;;;;;;;;;x;x;x;;;;x;;
Ala Autnoma (ISCTE-IUL);AA2.24;30;16;4;;;;;;;;;;;;x;;;;;;;;;;x;x;;;;;x;;
Ala Autnoma (ISCTE-IUL);AA2.25;38;21;4;;;;;;;;;;;;x;;;;;;;;;;x;x;;;;;x;;
Ala Autnoma (ISCTE-IUL);AA2.26;38;19;4;;;;;;;;;;;;x;;;;;;;;;;x;x;;;;;x;;
Ala Autnoma (ISCTE-IUL);AA2.28;30;19;4;;;;;;;;;;;;x;;;;;;;;;;x;x;;;;;x;;
Ala Autnoma (ISCTE-IUL);AA2.29;50;24;4;;;;;;;;;;;;x;;;;;;;;;;x;x;;;;;x;;
Ala Autnoma (ISCTE-IUL);AA3.23;50;23;4;;;;;;;;;;;;x;;;;;;;;;;x;x;;;;;x;;
Ala Autnoma (ISCTE-IUL);AA3.24;28;16;4;;;;;;;;;;;;x;;;;;;;;;;x;x;;;;;x;;
Ala Autnoma (ISCTE-IUL);AA3.25;38;21;4;;;;;;;;;;;;x;;;;;;;;;;x;x;;;;;x;;
Ala Autnoma (ISCTE-IUL);AA3.26;30;19;4;;;;;;;;;;;;x;;;;;;;;;;x;x;;;;;x;;
Ala Autnoma (ISCTE-IUL);AA3.28;48;29;4;;;;;;;;;;;;x;;;;;;;;;;x;x;;;;;x;;
Ala Autnoma (ISCTE-IUL);AA3.29;50;24;4;;;;;;;;;;;;x;;;;;;;;;;x;x;;;;;x;;
Ala Autnoma (ISCTE-IUL);AA3.30;24;15;4;;;;;;;;;;;;x;;;;;;;;;;x;x;;;;;x;;
Ala Autnoma (ISCTE-IUL);AA3.32;10;0;2;;;;;;;;;;;;x;;;;;;;;;;;;;;x;;;;
Ala Autnoma (ISCTE-IUL);AA3.40;32;18;4;;;;;;;;;;;;x;;;;;;;;;;x;x;;;;;x;;
Ala Autnoma (ISCTE-IUL);AA4.07;10;0;1;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;
Edifcio II (ISCTE-IUL);C0.08;1;0;1;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;
Edifcio II (ISCTE-IUL);D0.01;2;2;2;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;x;
Edifcio II (ISCTE-IUL);D0.03;15;0;2;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;
Edifcio II (ISCTE-IUL);D0.05;6;0;2;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;
Edifcio II (ISCTE-IUL);Espao Exposies;41;41;1;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;
Edifcio II (ISCTE-IUL);A1;1;0;2;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;x
Edifcio II (ISCTE-IUL);Auditrio B1.03;204;102;6;x;;;;;;;;;;;x;;;;;;;;;;x;x;;;;;x;x;
Edifcio II (ISCTE-IUL);Auditrio B1.04;192;96;6;x;;;;;;;;;;;x;;;;;;;;;;x;x;;;;;x;x;
Edifcio II (ISCTE-IUL);Auditrio C1.03;70;44;5;;;;;;;;;;;;x;;;;;;;;;;x;x;;;;;x;x;
Edifcio II (ISCTE-IUL);Auditrio C1.04;60;44;5;;;;;;;;;;;;x;;;;;;;;;;x;x;;;;;x;x;
Edifcio II (ISCTE-IUL);B1;29;0;2;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;x
Edifcio II (ISCTE-IUL);B1.01;12;0;2;;;;;;;;;;;;x;;;;;;;;;;;;;;x;;;;
Edifcio II (ISCTE-IUL);B1.02;1;0;2;;;;;;;;;;;;x;;;;;;;;;;;;;;x;;;;
Edifcio II (ISCTE-IUL);Balco Recepo;1;0;1;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;
Edifcio II (ISCTE-IUL);C1;1;0;2;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;x
Edifcio II (ISCTE-IUL);C1.01;35;23;5;;;;;;;;;;;;x;;;;;;;;;;x;x;;;;;x;x;
Edifcio II (ISCTE-IUL);D1.01;35;21;2;;;;;;;;;;;;x;;;;;x;;;;;;;;;;;;;
Edifcio II (ISCTE-IUL);D1.02;27;18;2;;;;;;;;;;;;x;;;;;x;;;;;;;;;;;;;
Edifcio II (ISCTE-IUL);D1.03;20;12;2;;;;;;;;;;;;x;;;;;x;;;;;;;;;;;;;
Edifcio II (ISCTE-IUL);D1.04;23;15;2;;;;;;;;;;;;x;;;;;x;;;;;;;;;;;;;
Edifcio II (ISCTE-IUL);D1.05;30;20;5;;;;;;;;;;x;;x;;;;;;;;;;x;x;;;;;x;;
Edifcio II (ISCTE-IUL);D1.06;28;19;2;;;;;;;;;;;;x;;;;;x;;;;;;;;;;;;;
